Valid. perplexity	Dropout 0.6	Dropout 0.7	Dropout 0.0	Dropout 0.3	Dropout 0.8
Training epoch 1	544.53	550.33	531.0	556.9	567.98
Training epoch 1	218.39	225.9	201.52	222.55	242.86
Training epoch 1	169.67	178.79	144.63	162.97	205.52
Training epoch 1	151.27	161.65	121.27	139.55	191.74
Training epoch 1	141.58	154.35	108.38	126.31	186.08
Training epoch 1	135.22	149.33	99.63	116.94	182.18
Training epoch 1	128.72	145.57	91.31	108.73	179.52
Training epoch 1	124.6	139.87	84.46	102.07	174.31
Training epoch 1	116.92	135.24	76.61	93.72	168.05
Training epoch 1	126.51	147.14	79.33	98.5	182.56
Training epoch 1	124.47	148.59	72.38	91.69	188.24
Training epoch 1	123.3	144.88	69.16	89.71	186.58
Training epoch 1	117.96	138.37	68.23	87.17	175.74
Training epoch 1	118.65	141.18	66.62	86.43	181.06
Training epoch 1	110.68	133.62	59.07	77.97	173.52
Training epoch 1	110.09	131.1	59.91	78.05	169.77
Training epoch 1	115.96	137.21	62.27	81.68	175.46
Training epoch 1	116.42	138.05	62.58	82.28	176.25
Training epoch 1	113.58	134.85	60.41	79.89	171.82
Training epoch 1	115.6	134.6	60.59	80.27	172.75
Training epoch 1	114.02	138.46	55.22	75.93	180.93
Validation epoch 1	101.2	112.95	77.12	100.7	143.07
Training epoch 2	109.03	131.33	53.64	73.42	176.73
Training epoch 2	109.53	129.92	53.33	73.22	168.59
Training epoch 2	110.89	132.97	55.02	74.94	169.8
Training epoch 2	111.02	131.97	53.61	73.78	170.77
Training epoch 2	107.97	130.02	49.53	69.9	170.23
Training epoch 2	109.73	132.06	51.3	71.87	170.91
Training epoch 2	110.39	131.69	52.0	72.82	170.31
Training epoch 2	109.25	130.41	51.24	71.39	167.37
Training epoch 2	105.09	125.38	48.49	68.38	164.53
Training epoch 2	111.39	136.36	48.33	69.89	177.29
Training epoch 2	110.54	137.66	44.08	66.87	183.69
Training epoch 2	110.01	135.8	44.29	67.56	181.34
Training epoch 2	110.4	131.48	47.89	69.4	172.05
Training epoch 2	110.42	135.16	46.68	68.97	178.69
Training epoch 2	104.06	128.06	41.92	63.75	170.56
Training epoch 2	105.15	126.62	44.53	65.18	168.52
Training epoch 2	110.19	132.53	46.79	68.78	173.07
Training epoch 2	112.5	134.66	47.68	70.22	173.42
Training epoch 2	109.9	130.27	46.67	68.61	169.29
Training epoch 2	112.34	132.69	47.4	70.18	171.94
Training epoch 2	109.28	134.75	41.41	64.79	178.73
Validation epoch 2	97.45	130.4	68.24	88.78	146.79
Training epoch 3	105.74	123.96	42.72	64.65	172.02
Training epoch 3	106.69	120.83	42.97	64.94	161.06
Training epoch 3	109.84	122.07	44.69	67.28	159.31
Training epoch 3	108.34	120.93	44.48	66.92	159.97
Training epoch 3	105.47	117.6	39.9	62.68	158.41
Training epoch 3	107.01	118.96	41.93	65.44	158.41
Training epoch 3	109.56	119.22	43.64	66.75	157.34
Training epoch 3	108.02	117.19	43.25	65.64	155.05
Training epoch 3	104.65	113.42	41.52	63.21	150.0
Training epoch 3	110.26	121.47	39.57	63.79	163.61
Training epoch 3	108.54	122.27	34.98	61.1	169.78
Training epoch 3	109.57	121.11	35.78	62.06	167.44
Training epoch 3	108.66	116.86	41.37	64.69	154.96
Training epoch 3	108.79	120.18	39.9	64.35	162.0
Training epoch 3	102.62	112.96	35.64	59.41	154.82
Training epoch 3	103.2	110.95	39.14	61.64	151.61
Training epoch 3	109.2	116.19	41.33	65.4	157.11
Training epoch 3	111.14	117.69	42.22	66.57	157.0
Training epoch 3	108.9	114.13	41.62	65.24	152.26
Training epoch 3	111.66	115.76	42.22	66.49	153.47
Training epoch 3	107.3	116.19	35.65	61.53	160.53
Validation epoch 3	96.38	103.62	66.33	83.94	140.81
Training epoch 4	104.57	111.74	38.09	61.7	159.9
Training epoch 4	106.33	112.42	38.75	61.99	151.64
Training epoch 4	108.67	114.95	40.36	64.46	152.06
Training epoch 4	108.25	113.87	40.17	64.81	151.62
Training epoch 4	103.46	111.33	35.26	59.85	151.28
Training epoch 4	106.97	113.27	37.73	62.65	152.95
Training epoch 4	108.24	114.02	39.73	64.36	151.09
Training epoch 4	108.93	112.71	39.32	63.27	150.33
Training epoch 4	105.16	109.36	38.04	61.56	145.38
Training epoch 4	109.38	116.56	35.15	61.57	158.26
Training epoch 4	108.75	117.71	30.52	58.55	164.41
Training epoch 4	109.67	116.94	31.98	59.91	162.61
Training epoch 4	109.14	112.58	37.94	63.35	151.79
Training epoch 4	109.94	115.9	36.43	62.37	157.94
Training epoch 4	102.77	108.84	32.49	57.73	151.7
Training epoch 4	104.24	107.89	36.32	59.83	149.39
Training epoch 4	109.14	113.9	38.36	64.02	153.93
Training epoch 4	111.59	115.32	39.27	65.23	153.99
Training epoch 4	109.41	112.07	38.77	64.07	150.01
Training epoch 4	111.81	113.03	39.3	65.8	150.93
Training epoch 4	108.12	113.33	32.77	59.57	157.38
Validation epoch 4	97.06	101.84	64.74	80.85	138.43
Training epoch 5	99.94	109.19	35.49	60.46	155.88
Training epoch 5	100.59	109.53	36.36	61.18	149.33
Training epoch 5	101.9	112.82	37.87	63.51	149.37
Training epoch 5	100.55	111.31	37.71	63.2	149.57
Training epoch 5	95.73	108.6	32.89	58.5	149.12
Training epoch 5	97.99	110.64	35.44	61.66	151.65
Training epoch 5	99.78	111.4	37.43	63.01	149.54
Training epoch 5	98.21	110.56	37.02	62.4	147.97
Training epoch 5	95.56	106.89	36.01	60.57	143.65
Training epoch 5	98.86	114.47	32.92	60.18	155.24
Training epoch 5	97.78	114.51	28.38	57.14	161.38
Training epoch 5	97.98	114.54	30.0	58.92	158.74
Training epoch 5	96.98	110.48	36.07	62.01	149.72
Training epoch 5	97.45	113.46	34.44	61.56	156.23
Training epoch 5	91.03	107.08	30.77	56.99	149.24
Training epoch 5	91.85	106.47	34.69	59.31	147.04
Training epoch 5	96.68	111.85	36.64	62.85	151.78
Training epoch 5	97.83	112.93	37.31	63.82	151.7
Training epoch 5	95.13	110.12	37.0	63.08	148.26
Training epoch 5	97.23	111.19	37.67	64.65	148.83
Training epoch 5	93.27	110.89	31.01	58.7	156.18
Validation epoch 5	90.16	99.59	66.78	78.28	135.4
Training epoch 6	91.07	106.23	32.79	60.17	153.31
Training epoch 6	93.76	107.94	33.21	60.29	146.84
Training epoch 6	95.39	110.79	34.19	62.66	147.74
Training epoch 6	95.08	109.32	33.73	63.19	147.85
Training epoch 6	90.5	106.11	28.7	57.73	146.67
Training epoch 6	93.34	109.1	30.68	61.24	148.21
Training epoch 6	94.93	110.24	32.42	62.46	147.67
Training epoch 6	94.26	109.61	31.92	61.78	146.61
Training epoch 6	91.05	105.16	30.81	60.37	142.16
Training epoch 6	94.98	112.22	27.28	59.57	153.88
Training epoch 6	94.06	112.96	23.36	56.18	158.59
Training epoch 6	94.92	112.93	24.77	58.15	158.16
Training epoch 6	94.19	109.63	29.6	61.69	147.41
Training epoch 6	93.8	111.38	27.89	61.36	153.49
Training epoch 6	88.45	105.44	24.59	56.0	147.73
Training epoch 6	89.09	104.64	27.51	58.89	145.8
Training epoch 6	94.11	110.61	28.8	62.19	150.72
Training epoch 6	95.61	111.68	28.91	63.4	150.93
Training epoch 6	93.5	109.08	28.46	62.74	147.04
Training epoch 6	95.01	109.76	28.31	64.42	146.64
Training epoch 6	91.44	109.44	22.93	58.12	153.77
Validation epoch 6	89.14	99.06	61.99	78.35	135.21
Training epoch 7	88.45	104.39	29.04	56.84	151.32
Training epoch 7	90.95	106.63	29.84	56.63	144.65
Training epoch 7	93.79	108.79	30.95	57.5	145.05
Training epoch 7	93.07	108.61	30.73	57.18	146.48
Training epoch 7	88.11	105.44	26.11	52.19	145.4
Training epoch 7	91.17	107.62	28.13	54.36	146.72
Training epoch 7	92.6	108.33	29.91	55.6	146.86
Training epoch 7	92.06	108.0	29.48	54.97	144.94
Training epoch 7	88.9	104.1	28.68	53.46	140.2
Training epoch 7	92.45	110.79	25.26	52.53	153.75
Training epoch 7	91.86	111.22	21.77	49.17	156.99
Training epoch 7	92.73	111.38	23.24	50.74	156.98
Training epoch 7	91.83	108.13	27.83	53.63	146.75
Training epoch 7	92.15	111.03	26.27	52.88	153.04
Training epoch 7	86.77	104.89	23.33	48.43	146.67
Training epoch 7	87.76	103.88	26.16	50.6	144.07
Training epoch 7	93.31	109.48	27.47	53.3	149.48
Training epoch 7	94.06	110.58	27.72	53.91	149.44
Training epoch 7	92.09	108.35	27.43	52.82	145.21
Training epoch 7	93.34	109.16	27.4	53.59	146.69
Training epoch 7	90.12	108.61	22.4	48.43	151.97
Validation epoch 7	88.77	98.69	62.63	71.17	134.05
Training epoch 8	87.05	103.69	27.77	51.88	149.38
Training epoch 8	89.87	105.34	28.68	52.34	143.61
Training epoch 8	91.91	108.27	29.68	54.46	144.81
Training epoch 8	91.0	107.92	29.42	54.08	145.19
