epoch	valid_loss	valid_perplexity
Training epoch 1	6.31	550.33
Training epoch 1	5.42	225.90
Training epoch 1	5.19	178.79
Training epoch 1	5.09	161.65
Training epoch 1	5.04	154.35
Training epoch 1	5.01	149.33
Training epoch 1	4.98	145.57
Training epoch 1	4.94	139.87
Training epoch 1	4.91	135.24
Training epoch 1	4.99	147.14
Training epoch 1	5.00	148.59
Training epoch 1	4.98	144.88
Training epoch 1	4.93	138.37
Training epoch 1	4.95	141.18
Training epoch 1	4.90	133.62
Training epoch 1	4.88	131.10
Training epoch 1	4.92	137.21
Training epoch 1	4.93	138.05
Training epoch 1	4.90	134.85
Training epoch 1	4.90	134.60
Training epoch 1	4.93	138.46
Validation epoch 1	4.73	112.95
Training epoch 2	4.88	131.33
Training epoch 2	4.87	129.92
Training epoch 2	4.89	132.97
Training epoch 2	4.88	131.97
Training epoch 2	4.87	130.02
Training epoch 2	4.88	132.06
Training epoch 2	4.88	131.69
Training epoch 2	4.87	130.41
Training epoch 2	4.83	125.38
Training epoch 2	4.92	136.36
Training epoch 2	4.92	137.66
Training epoch 2	4.91	135.80
Training epoch 2	4.88	131.48
Training epoch 2	4.91	135.16
Training epoch 2	4.85	128.06
Training epoch 2	4.84	126.62
Training epoch 2	4.89	132.53
Training epoch 2	4.90	134.66
Training epoch 2	4.87	130.27
Training epoch 2	4.89	132.69
Training epoch 2	4.90	134.75
Validation epoch 2	4.87	130.40
Training epoch 3	4.82	123.96
Training epoch 3	4.79	120.83
Training epoch 3	4.80	122.07
Training epoch 3	4.80	120.93
Training epoch 3	4.77	117.60
Training epoch 3	4.78	118.96
Training epoch 3	4.78	119.22
Training epoch 3	4.76	117.19
Training epoch 3	4.73	113.42
Training epoch 3	4.80	121.47
Training epoch 3	4.81	122.27
Training epoch 3	4.80	121.11
Training epoch 3	4.76	116.86
Training epoch 3	4.79	120.18
Training epoch 3	4.73	112.96
Training epoch 3	4.71	110.95
Training epoch 3	4.76	116.19
Training epoch 3	4.77	117.69
Training epoch 3	4.74	114.13
Training epoch 3	4.75	115.76
Training epoch 3	4.76	116.19
Validation epoch 3	4.64	103.62
Training epoch 4	4.72	111.74
Training epoch 4	4.72	112.42
Training epoch 4	4.74	114.95
Training epoch 4	4.74	113.87
Training epoch 4	4.71	111.33
Training epoch 4	4.73	113.27
Training epoch 4	4.74	114.02
Training epoch 4	4.72	112.71
Training epoch 4	4.69	109.36
Training epoch 4	4.76	116.56
Training epoch 4	4.77	117.71
Training epoch 4	4.76	116.94
Training epoch 4	4.72	112.58
Training epoch 4	4.75	115.90
Training epoch 4	4.69	108.84
Training epoch 4	4.68	107.89
Training epoch 4	4.74	113.90
Training epoch 4	4.75	115.32
Training epoch 4	4.72	112.07
Training epoch 4	4.73	113.03
Training epoch 4	4.73	113.33
Validation epoch 4	4.62	101.84
Training epoch 5	4.69	109.19
Training epoch 5	4.70	109.53
Training epoch 5	4.73	112.82
Training epoch 5	4.71	111.31
Training epoch 5	4.69	108.60
Training epoch 5	4.71	110.64
Training epoch 5	4.71	111.40
Training epoch 5	4.71	110.56
Training epoch 5	4.67	106.89
Training epoch 5	4.74	114.47
Training epoch 5	4.74	114.51
Training epoch 5	4.74	114.54
Training epoch 5	4.70	110.48
Training epoch 5	4.73	113.46
Training epoch 5	4.67	107.08
Training epoch 5	4.67	106.47
Training epoch 5	4.72	111.85
Training epoch 5	4.73	112.93
Training epoch 5	4.70	110.12
Training epoch 5	4.71	111.19
Training epoch 5	4.71	110.89
Validation epoch 5	4.60	99.59
Training epoch 6	4.67	106.23
Training epoch 6	4.68	107.94
Training epoch 6	4.71	110.79
Training epoch 6	4.69	109.32
Training epoch 6	4.66	106.11
Training epoch 6	4.69	109.10
Training epoch 6	4.70	110.24
Training epoch 6	4.70	109.61
Training epoch 6	4.66	105.16
Training epoch 6	4.72	112.22
Training epoch 6	4.73	112.96
Training epoch 6	4.73	112.93
Training epoch 6	4.70	109.63
Training epoch 6	4.71	111.38
Training epoch 6	4.66	105.44
Training epoch 6	4.65	104.64
Training epoch 6	4.71	110.61
Training epoch 6	4.72	111.68
Training epoch 6	4.69	109.08
Training epoch 6	4.70	109.76
Training epoch 6	4.70	109.44
Validation epoch 6	4.60	99.06
